Domaine scientifique principal;Acronyme;Libellé FR;Libellé EN;IR_Id;Paysage;Wikidata;FDR2021;FDR2018
Physique nucléaire et des hautes énergies;AGATA;Advance GAmma Tracking Array;;fr-esr-fdr-ir-100;YBmEH;;Oui;Non
Sciences du système Terre et de l'environnement;AnaEE France;Analyse et Expérimentation sur les Ecosystèmes - France;;fr-esr-fdr-ir-101;d1K6K;;Oui;Non
Sciences du système Terre et de l'environnement;ANAEE-France ECOTRONS;Analyses et Expérimentations sur les Écosystèmes – France ECOTRONS;;fr-esr-fdr-ir-047;43dKM;;Non;Oui
Biologie et santé;Celphedia;Infrastructure Nationale pour la création, l’élevage, le phénotypage, la distribution et l’archivage d’organismes modèles;;fr-esr-fdr-ir-011;5X85x;;Oui;Oui
Services numériques (calcul et réseau);CINES;Centre informatique national de l'enseignement supérieur;;fr-esr-fdr-ir-103;QuDx7;Q2945791;Oui;Non
Sciences du système Terre et de l'environnement;CLIMERI-France;Infrastructure de recherche nationale de modélisation du système climatique de la Terre;;fr-esr-fdr-ir-046;rHxfr;;Oui;Oui
Information scientifique;CollEx-Persée;Collections d’excellence pour la Recherche – Persée;;fr-esr-fdr-ir-060;tC942;Q103038686;Oui;Oui
Astronomie et astrophysique;CTA;Cherenkov Telescope Array;;fr-esr-fdr-ir-004;T8XXh;Q1070229;Oui;Oui
Physique nucléaire et des hautes énergies;DUNE;Deep Underground Neutrino Experiment at the Long- Baseline Neutrino Facility;;fr-esr-fdr-ir-078;2g3w4;;Oui;Oui
Physique nucléaire et des hautes énergies;EGO-VIRGO;Observatoire Européen Gravitationnel - VIRGO;European Gravitational Observatory - VIRGO;fr-esr-fdr-ir-072;cGMzA;Q5412642;Oui;Oui
Sciences de la matière et ingénierie;EMIR;Fédération des Accélérateurs pour les Études des Matériaux sous Irradiation;;fr-esr-fdr-ir-089;M6KFX;;Non;Oui
Sciences du système Terre et de l'environnement;EMPHASIS France;European Infrastructure for multi-scale Plant Phenomics and Simulation for food security in a changing climate (France);;fr-esr-fdr-ir-033;j1t4P;;Non;Oui
SHS;E-RIHS France;European Research Infrastructure for Heritage Science – France;;fr-esr-fdr-ir-082;ibu4q;;Oui;Oui
Sciences de la matière et ingénierie;ESRF;Source Européenne de Rayonnement Synchrotron;European Synchrotron Radiation Facility;fr-esr-fdr-ir-083;TshOK;Q901751;Oui;Oui
Biologie et santé;FBI;France-BioImaging;;fr-esr-fdr-ir-016;a1WrO;Q114340024;Oui;Oui
Biologie et santé;F-CRIN;Plateforme Nationale d’Infrastructures de recherche Clinique;;fr-esr-fdr-ir-017;04FVC;;Oui;Oui
Biologie et santé;France Génomique;Infrastructure nationale de génomique et bioinformatique associée;;fr-esr-fdr-ir-019;57EKv;Q51784520;Oui;Oui
Information scientifique;HAL+;Archive ouverte de prochaine génération;;fr-esr-fdr-ir-062;2bNBY;Q3144107;Oui;Oui
SHS;HUMA-NUM;La Très Grande Infrastructure de Recherche des Humanités Numériques;;fr-esr-fdr-ir-079;K6UL3;Q24938883;Oui;Oui
Biologie et santé;IFB;Institut Français de Bioinformatique;;fr-esr-fdr-ir-024;L4rp3;Q106411948;Oui;Oui
Biologie et santé;INGESTEM;Infrastructure nationale des cellules souches pluripotentes et ingénierie tissulaire;;fr-esr-fdr-ir-025;Mk4Sk;;Oui;Oui
