Table	table	T	Ta	Tab	Tabl	e	le	ble	able	BLOCKSTART	LINESTART	NEWFONT	SAMEFONTSIZE	0	0	INITCAP	NODIGIT	0	NOPUNCT	1	20	0	0
1	1	1	1	1	1	1	1	1	1	BLOCKIN	LINEIN	SAMEFONT	SAMEFONTSIZE	0	0	NOCAPS	ALLDIGIT	1	NOPUNCT	1	20	0	0
The	the	T	Th	The	The	e	he	The	The	BLOCKIN	LINEIN	NEWFONT	SAMEFONTSIZE	0	0	INITCAP	NODIGIT	0	NOPUNCT	1	20	0	0
clinicopathological	clinicopathological	c	cl	cli	clin	l	al	cal	ical	BLOCKIN	LINEIN	SAMEFONT	SAMEFONTSIZE	0	0	NOCAPS	NODIGIT	0	NOPUNCT	1	20	0	0
data	data	d	da	dat	data	a	ta	ata	data	BLOCKIN	LINEIN	SAMEFONT	SAMEFONTSIZE	0	0	NOCAPS	NODIGIT	0	NOPUNCT	1	20	0	0
of	of	o	of	of	of	f	of	of	of	BLOCKIN	LINEIN	SAMEFONT	SAMEFONTSIZE	0	0	NOCAPS	NODIGIT	0	NOPUNCT	1	20	0	0
PDAC	pdac	P	PD	PDA	PDAC	C	AC	DAC	PDAC	BLOCKIN	LINEIN	SAMEFONT	SAMEFONTSIZE	0	0	ALLCAP	NODIGIT	0	NOPUNCT	1	20	0	0
tissue	tissue	t	ti	tis	tiss	e	ue	sue	ssue	BLOCKIN	LINEIN	SAMEFONT	SAMEFONTSIZE	0	0	NOCAPS	NODIGIT	0	NOPUNCT	1	20	0	0
samples	samples	s	sa	sam	samp	s	es	les	ples	BLOCKEND	LINEEND	SAMEFONT	SAMEFONTSIZE	0	0	NOCAPS	NODIGIT	0	NOPUNCT	1	20	0	0
Sample	sample	S	Sa	Sam	Samp	e	le	ple	mple	BLOCKSTART	LINESTART	NEWFONT	LOWERFONT	0	0	INITCAP	NODIGIT	0	NOPUNCT	1	20	0	0
Age	age	A	Ag	Age	Age	e	ge	Age	Age	BLOCKIN	LINESTART	SAMEFONT	SAMEFONTSIZE	0	0	INITCAP	NODIGIT	0	NOPUNCT	1	20	0	0
Sex	sex	S	Se	Sex	Sex	x	ex	Sex	Sex	BLOCKIN	LINESTART	SAMEFONT	SAMEFONTSIZE	0	0	INITCAP	NODIGIT	0	NOPUNCT	1	20	0	0
Location	location	L	Lo	Loc	Loca	n	on	ion	tion	BLOCKIN	LINESTART	SAMEFONT	SAMEFONTSIZE	0	0	INITCAP	NODIGIT	0	NOPUNCT	1	20	0	0
a	a	a	a	a	a	a	a	a	a	BLOCKIN	LINEEND	SAMEFONT	LOWERFONT	0	0	NOCAPS	NODIGIT	1	NOPUNCT	1	20	0	0
Histology	histology	H	Hi	His	Hist	y	gy	ogy	logy	BLOCKIN	LINESTART	SAMEFONT	HIGHERFONT	0	0	INITCAP	NODIGIT	0	NOPUNCT	1	20	0	0
b	b	b	b	b	b	b	b	b	b	BLOCKIN	LINEEND	SAMEFONT	LOWERFONT	0	0	NOCAPS	NODIGIT	1	NOPUNCT	1	20	0	0
T	t	T	T	T	T	T	T	T	T	BLOCKIN	LINESTART	SAMEFONT	HIGHERFONT	0	0	ALLCAP	NODIGIT	1	NOPUNCT	1	20	0	0
N	n	N	N	N	N	N	N	N	N	BLOCKIN	LINESTART	SAMEFONT	SAMEFONTSIZE	0	0	ALLCAP	NODIGIT	1	NOPUNCT	1	20	0	0
M	m	M	M	M	M	M	M	M	M	BLOCKIN	LINESTART	SAMEFONT	SAMEFONTSIZE	0	0	ALLCAP	NODIGIT	1	NOPUNCT	1	20	0	0
